name,developer,publisher,release date,rating,24hour-peak-user,
Commandos: Behind Enemy Lines,Pyro Studios,Kalypso Media Digital,"March 15, 2007 ??07:00:00 UTC (13 years ago)",? 84,110,
EMERGENCY 4 Deluxe,Sixteen Tons Entertainment,Sixteen Tons Entertainment,"April 24, 2018 ??09:00:24 UTC (2 years ago)",??74,115,
Gary Grigsby's War in the East,2by3 Games,Slitherine Ltd.,"July 9, 2015 ??16:14:41 UTC (5 years ago)",??85,94,
Strategic Command: World War I,Fury Software,Slitherine Ltd.,"December 5, 2019 ??15:51:11 UTC (about a month ago)",??81,104,
Girls' civilization,Moondolino,Moondolino,"January 6, 2020 ??04:08:06 UTC (6 days ago)",??67,121,
The Walking Dead,Telltale Games,Skybound Games,"April 24, 2012 ??17:00:00 UTC (8 years ago)",? 94,102,
BioShock,"Store Name BioShock??""Developer",,,,,
"2K Boston""","August 21, 2007 ??20:00:00 UTC (12 years ago)",? 92,94,,,
School of Dragons: How to Train Your Dragon,Store Name School of Dragons,"Developer
JumpStart Games, Inc.","December 4, 2014 ??11:22:00 UTC (5 years ago)",? 52,93,
Professional Fishing,MasterCode,Ultimate Games S.A.,"November 30, 2018 ??18:16:32 UTC (about a year ago)",? 68,112,
Trine 3: The Artifacts of Power,Frozenbyte,Frozenbyte,"August 20, 2015 ??14:50:00 UTC (4 years ago)",? 65,110,
Knights of Honor,Black Sea Studios Ltd,Paradox Interactive,NULL,? 87,96,
Ben and Ed - Blood Party,Sluggerfly,Sluggerfly,"February 13, 2018 ??16:07:18 UTC (2 years ago)",? 81,172,
Secrets of Grindea,Pixel Ferrets,Pixel Ferrets,"July 13, 2015 ??15:58:13 UTC (5 years ago)",? 88,110,
Counter-Strike: Condition Zero Deleted Scenes,Last Known Name Counter-Strike: Condition Zero,"Developer
Valve",NULL,93,99,
World War 3,The Farm 51,The Farm 51,"October 19, 2018 ??18:28:33 UTC (about a year ago)",? 62,119,
Teeworlds,Teeworlds Team,Teeworlds Team,"August 24, 2015 ??10:07:00 UTC (4 years ago)",? 85,109,
NEOVERSE,Tinogames Inc.,Tinogames Inc.,"January 9, 2019 ??15:41:28 UTC (about a year ago)",? 80,104,
Ymir,Thibaud Michaud,Thibaud Michaud,"March 16, 2019 ??12:24:21 UTC (10 months ago)",? 74,101,
Wildermyth,Worldwalker Games LLC,Worldwalker Games LLC,"November 13, 2019 ??16:00:00 UTC (2 months ago)",? 91,112,
Metro Exodus,4A Games,Deep Silver,"February 15, 2019 ??05:00:00 UTC (11 months ago)",? 87,99,
Train Fever,Urban Games,Good Shepherd Entertainment,"September 4, 2014 ??08:00:00 UTC (5 years ago)",? 62,92,
Fallout 3,Bethesda Game Studios,Bethesda Softworks,NULL,? 76,92,
School of Dragons: How to Train Your Dragon,Store Name School of Dragons,"Developer
JumpStart Games, Inc.","December 4, 2014 ??11:22:00 UTC (5 years ago)",? 52,93,
Cubic Castles,Cosmic Cow LLC,Cosmic Cow LLC,"August 13, 2014 ??13:31:00 UTC (5 years ago)",? 70,98,
Fantasy General II,Owned by Gravity,Slitherine Ltd.,"September 5, 2019 ??14:20:46 UTC (4 months ago)",??77,102,
Time Warpers,Proton Studio Inc,Proton Studio Inc,"November 2, 2018 ??19:00:26 UTC (about a year ago)",??84,110,
Evenicle,Alicesoft,MangaGamer,"October 10, 2018 ??15:56:00 UTC (about a year ago)",??87,92,
Super Bunny Man,Catobyte,Catobyte Ltd,"August 31, 2017 ??12:35:30 UTC (2 years ago)",? 80,130,
Reign Of Kings,Code}{atch,Code}{atch,"December 16, 2015 ??00:47:30 UTC (4 years ago)",? 56,108,
Aliens vs. Predator,"Store Name Aliens vs. Predator??""Developer",,,,,
"Rebellion""","February 16, 2010 ??17:00:00 UTC (10 years ago)",? 86,96,,,
Wolfenstein: The New Order German Edition,Store Name Wolfenstein: The New Order,"Developer
MachineGames","May 19, 2014 ??22:00:00 UTC (6 years ago)",? 80,95,
Midas Gold Plus,Holyday Studios,Holyday Studios,"February 1, 2017 ??11:59:00 UTC (3 years ago)",? 84,106,
Swords & Souls: Neverseen,SoulGame Studio,Armor Games Studios,"July 22, 2019 ??16:53:05 UTC (6 months ago)",? 86,96,
.hack//G.U. Last Recode,CyberConnect2,BANDAI NAMCO Entertainment,"November 3, 2017 ??17:03:36 UTC (2 years ago)",? 83,98,
Night in the Woods,Infinite Fall,Finji,"February 21, 2017 ??18:00:22 UTC (3 years ago)",? 89,107,
Battle Tanks: Legends of World War II,ExDevs LTD,ExDevs LTD,"February 22, 2019 ??04:45:53 UTC (11 months ago)",? 61,100,
Baldr Sky,GIGA,Sekai Project,"December 20, 2019 ??19:59:08 UTC (22 days ago)",??88,95,
Lords Of The Fallen,"Store Name Lords Of The Fallen??""Developer",,,,,
"CI Games""","October 28, 2014 ??16:58:00 UTC (5 years ago)",? 59,94,,,
Scribblenauts Unlimited,5th Cell Media,Warner Bros. Interactive Entertainment,NULL,? 89,91,
Faeria,Abrakam SA,Versus Evil,"March 8, 2017 ??14:25:00 UTC (3 years ago)",? 81,95,
Home Behind,TPP Studio,TPP Studio,"June 3, 2016 ??06:05:51 UTC (4 years ago)",? 83,135,
Company of Heroes: Tales of Valor,Relic Entertainment,SEGA,NULL,? 88,90,
Opus Magnum,Zachtronics,Zachtronics,"December 7, 2017 ??17:53:00 UTC (2 years ago)",? 93,96,
Dead or School,Store Name DEAD OR SCHOOL,"Developer
Studio Nanafushi","June 3, 2019 ??21:31:41 UTC (7 months ago)",? 84,110,
War Rock,Dream Execution,Papaya Play,"February 7, 2019 ??02:00:29 UTC (11 months ago)",? 49,146,
GRIP: Combat Racing,Caged Element Inc.,Wired Productions,"November 6, 2018 ??16:56:00 UTC (about a year ago)",? 84,106,
Warhammer: End Times - Vermintide,Fatshark,Fatshark,"October 23, 2015 ??17:00:00 UTC (4 years ago)",? 78,94,
Catacomb Explorers,iwgg Publishing,iwgg Publishing,"October 22, 2016 ??16:15:11 UTC (3 years ago)",88,"4,666",
F1 2012,"Store Name F1 2012??""Developer",,,,,
"Codemasters Birmingham""","September 18, 2012 (7 years ago)",? 85,95,,,
Door Kickers,KillHouse Games,KillHouse Games,"October 20, 2014 ??17:09:00 UTC (5 years ago)",? 91,99,
Do Not Feed the Monkeys,Fictiorama Studios,Alawar Premium,"October 24, 2018 ??02:52:02 UTC (about a year ago)",? 87,112,
"Cook, Serve, Delicious! 2!!",Vertigo Gaming Inc.,Vertigo Gaming Inc.,"September 13, 2017 ??23:13:34 UTC (2 years ago)",? 84,96,
Sheltered,Unicube,Team17 Digital Ltd,"March 15, 2016 ??18:34:00 UTC (4 years ago)",? 76,88,
Deponia,Daedalic Entertainment,Daedalic Entertainment,"August 6, 2012 ??23:00:00 UTC (7 years ago)",? 86,89,
"Warhammer 40,000: Sanctus Reach",Straylight Entertainment,Slitherine Ltd.,"January 19, 2017 ??15:41:47 UTC (3 years ago)",? 81,88,
Medieval Kingdom Wars,Reverie World Studios,Supported Systems,NULL,? 75,89,
LEGO® Batman??2: DC Super Heroes,TT Games,Warner Bros. Interactive Entertainment,"June 22, 2012 ??16:51:00 UTC (8 years ago)",? 85,88,
Warhammer: Chaosbane,Eko Software,Bigben Interactive,"May 31, 2019 ??09:11:31 UTC (8 months ago)",? 46,94,
Act of Aggression,Store Name Act of Aggression - Reboot Edition,"Developer
Eugen Systems","September 2, 2015 ??16:57:00 UTC (4 years ago)",? 61,95,
Last Epoch,Eleventh Hour Games,Eleventh Hour Games,"April 30, 2019 ??20:30:46 UTC (9 months ago)",? 75,87,
Puzzle Pirates,"Grey Havens, LLC","Grey Havens, LLC","August 31, 2011 ??17:00:00 UTC (8 years ago)",? 76,103,
Legend of Keepers: Prologue,Goblinz Studio,Goblinz Studio,"October 10, 2019 ??11:11:26 UTC (3 months ago)",? 90,88,
Oriental Empires,Shining Pixel Studios,Iceberg Interactive,"September 14, 2017 ??09:41:27 UTC (2 years ago)",? 75,90,
Trine 3: The Artifacts of Power,Frozenbyte,Frozenbyte,"August 20, 2015 ??14:50:00 UTC (4 years ago)",? 65,110,
Production Line,Store Name Production Line : Car factory simulation,"Developer
Positech Games","March 7, 2019 ??10:00:00 UTC (10 months ago)",? 83,98,
Niffelheim,Ellada Games,Ellada Games,"September 26, 2018 ??15:59:31 UTC (about a year ago)",? 74,107,
Audition Online,T3 Entertainment,Redbana Corporation,"June 4, 2015 ??02:00:27 UTC (5 years ago)",? 63,100,
CODE VEIN Demo,BANDAI NAMCO Studios,BANDAI NAMCO Entertainment,"December 17, 2019 ??23:00:29 UTC (25 days ago)",87,94,
Hobo: Tough Life,Perun Creative,Perun Creative,"July 25, 2017 ??16:54:52 UTC (2 years ago)",? 68,106,
Girls' civilization,Moondolino,Moondolino,"January 6, 2020 ??04:08:06 UTC (6 days ago)",??67,121,
RealityCapture,Capturing Reality,Capturing Reality,"November 2, 2016 ??17:01:00 UTC (3 years ago)",??64,104,
ArcheAge,XLGAMES,Trion Worlds,"March 26, 2015 ??19:00:00 UTC (5 years ago)",? 51,112,
Fable - The Lost Chapters,Lionhead Studios,Xbox Game Studios,NULL,? 88,93,
Overlord II,Triumph Studios,Codemasters,"June 23, 2009 ??07:00:00 UTC (11 years ago)",? 84,91,
Crying Suns,Alt Shift,Humble Bundle,"September 19, 2019 ??03:59:20 UTC (4 months ago)",? 83,86,
Who's Your Daddy,Evil Tortilla Games,Evil Tortilla Games,"May 13, 2016 ??18:10:10 UTC (4 years ago)",? 71,118,
Shadows: Awakening,Games Farm,Kalypso Media Digital,"August 31, 2018 ??17:00:12 UTC (about a year ago)",? 73,86,
The Council,Big Bad Wolf,Focus Home Interactive,"March 13, 2018 ??16:00:00 UTC (2 years ago)",? 80,86,
侠�?风云传前�?Tale of Wuxia:The Pre-Sequel),Heluo Studio,FHYX（凤?�游?�）,"August 15, 2017 ??01:02:40 UTC (2 years ago)",? 65,118,
Sword Art Online Re: Hollow Fragment,"AQURIA Co., Ltd.",BANDAI NAMCO Entertainment,"August 20, 2018 (about a year ago)",? 76,91,
LIMBO,Playdead,Playdead,"August 2, 2011 ??16:57:00 UTC (8 years ago)",? 91,101,
"Warhammer 40,000: Dawn of War II - Chaos Rising","Store Name Warhammer® 40,000: Dawn of War® II Chaos Rising","Developer
Relic Entertainment","March 12, 2010 ??00:00:00 UTC (10 years ago)",? 86,97,
Argo,Bohemia Interactive,Bohemia Interactive,"June 22, 2017 ??16:02:00 UTC (3 years ago)",? 48,97,
Call of Duty: Modern Warfare 3 - Dedicated Server,Infinity Ward - Sledgehammer Games,"Last Record Update 3 days ago (January 8, 2020 ??08:42:47 UTC)",NULL,85,88,
Rain World,Videocult,Adult Swim Games,"March 28, 2017 ??03:51:36 UTC (3 years ago)",? 82,85,
F1 2015,Codemasters,Codemasters,"July 9, 2015 ??22:59:00 UTC (5 years ago)",? 60,98,
World War 3,The Farm 51,The Farm 51,"October 19, 2018 ??18:28:33 UTC (about a year ago)",? 62,119,
Bastion,Supergiant Games,Supergiant Games,"August 16, 2011 ??17:00:00 UTC (8 years ago)",? 94,102,
WARMODE,Novalink,Novalink,"September 14, 2019 ??06:51:48 UTC (4 months ago)",? 60,90,
Fallen Enchantress: Legendary Heroes,Stardock Entertainment,Stardock Entertainment,"May 22, 2013 (7 years ago)",? 70,84,
Hyperdimension Neptunia Re;Birth1,"IDEA FACTORY Co., Ltd.","Idea Factory International, Inc.","January 29, 2015 ??23:55:00 UTC (5 years ago)",? 92,99,
Mountain,David OReilly,Double Fine Presents,"August 18, 2014 ??17:05:00 UTC (5 years ago)",? 85,99,
Sherlock Holmes: The Devil's Daughter,Frogwares,Bigben Interactive,"June 10, 2016 ??16:56:00 UTC (4 years ago)",? 73,91,
FINAL FANTASY III,Square Enix,Square Enix,"May 27, 2014 ??15:01:00 UTC (6 years ago)",? 76,87,
Spore: Creepy & Cute Parts Pack,Store Name SPORE??Creepy & Cute Parts Pack,"Developer
Maxis??,December 19"," 2008 ??08:00:00 UTC (11 years ago)""",? 79,85,
SYNTHETIK,Store Name SYNTHETIK: Legion Rising,"Developer
Flow Fire Games","March 16, 2018 ??01:15:39 UTC (2 years ago)",? 88,92,
Substance Painter 2019,Allegorithmic,Allegorithmic,"November 20, 2018 ??21:48:23 UTC (about a year ago)",??75,98,
ClickRaid2,Slikey Games,Slikey Games,"July 5, 2019 ??04:04:40 UTC (6 months ago)",??72,90,
Caves of Qud,Freehold Games,Freehold Games,"July 15, 2015 ??13:25:18 UTC (4 years ago)",? 92,93,
FINAL FANTASY III,Square Enix,Square Enix,"May 27, 2014 ??15:01:00 UTC (6 years ago)",? 76,87,
Ancient Warfare 3,Jannik Nickel,Jannik Nickel,"December 21, 2017 ??21:00:22 UTC (2 years ago)",??81,84,
Home Behind,TPP Studio,TPP Studio,"June 3, 2016 ??06:05:51 UTC (4 years ago)",? 83,135,
AdVenture Communist,Hyper Hippo Games,Hyper Hippo Games,"August 23, 2016 ??16:29:00 UTC (3 years ago)",? 66,102,
Five Nights at Freddy's,Scott Cawthon,Scott Cawthon,"August 19, 2014 ??18:06:00 UTC (5 years ago)",? 86,87,
Reassembly,Anisoptera Games,Indie Voyage,"February 19, 2015 ??22:38:00 UTC (5 years ago)",? 89,93,
Spore: Creepy & Cute Parts Pack,Store Name SPORE??Creepy & Cute Parts Pack,"Developer
Maxis??,December 19"," 2008 ??08:00:00 UTC (11 years ago)""",? 79,85,
Trophy Fishing 2,Overgroup,Overgroup,"July 13, 2017 ??09:05:55 UTC (2 years ago)",? 65,85,
Sword Art Online Re: Hollow Fragment,"AQURIA Co., Ltd.",BANDAI NAMCO Entertainment,"August 20, 2018 (about a year ago)",? 76,91,
ClickRaid2,Slikey Games,Slikey Games,"July 5, 2019 ??04:04:40 UTC (6 months ago)",??72,90,
The Settlers 7 : History Edition,Store Name The Settlers® 7 : History Edition,"Developer
Ubisoft Blue Byte","January 22, 2019 ??17:00:00 UTC (12 months ago)",??57,94,
RealityCapture,Capturing Reality,Capturing Reality,"November 2, 2016 ??17:01:00 UTC (3 years ago)",??64,104,
Warhammer: Chaosbane,Eko Software,Bigben Interactive,"May 31, 2019 ??09:11:31 UTC (8 months ago)",? 46,94,
F1 2012,"Store Name F1 2012??""Developer",,,,,
"Codemasters Birmingham""","September 18, 2012 (7 years ago)",? 85,95,,,
Fable - The Lost Chapters,Lionhead Studios,Xbox Game Studios,NULL,? 88,93,
Smashbox Arena,"BigBox VR, Inc.","BigBox VR, Inc.","December 7, 2016 ??18:58:00 UTC (3 years ago)",??87,91,
Shadows: Awakening,Games Farm,Kalypso Media Digital,"August 31, 2018 ??17:00:12 UTC (about a year ago)",? 73,86,
Legend of Keepers: Prologue,Goblinz Studio,Goblinz Studio,"October 10, 2019 ??11:11:26 UTC (3 months ago)",? 90,87,
FINAL FANTASY VI,Square Enix,Square Enix,"December 16, 2015 ??17:00:00 UTC (4 years ago)",? 74,82,
DUSK,David Szymanski,New Blood Interactive,"December 10, 2018 ??19:01:00 UTC (about a year ago)",? 94,103,
Exanima,Bare Mettle Entertainment,Bare Mettle Entertainment,"April 29, 2015 ??16:14:17 UTC (5 years ago)",? 77,98,
Sonic Adventure DX,SEGA,SEGA,NULL,? 83,86,
Ascension,Store Name Ascension: Deckbuilding Game,"Developer
Playdek, Inc.","December 16, 2014 ??20:03:00 UTC (5 years ago)",? 78,90,
"Warhammer 40,000: Dawn of War II - Chaos Rising","Store Name Warhammer® 40,000: Dawn of War® II Chaos Rising","Developer
Relic Entertainment","March 12, 2010 ??00:00:00 UTC (10 years ago)",? 86,97,
Hyper Light Drifter,Heart Machine,Heart Machine,"March 31, 2016 ??08:55:00 UTC (4 years ago)",? 91,81,
Fallen Enchantress: Legendary Heroes,Stardock Entertainment,Stardock Entertainment,"May 22, 2013 (7 years ago)",? 70,84,
G2 Fighter,Store Name G2 Fighter / ?�因?�工,"Developer
Orbit Games","October 12, 2018 ??23:28:00 UTC (about a year ago)",? 82,116,
Serious Sam 2,Croteam,Devolver Digital,"January 31, 2012 ??18:00:00 UTC (8 years ago)",? 86,101,
Tower of Time,Event Horizon,Event Horizon,"April 12, 2018 ??11:38:18 UTC (2 years ago)",? 82,81,
Gunsmith,Seacorp Technologies,Seacorp Technologies,"May 25, 2018 ??17:00:49 UTC (2 years ago)",? 74,83,
King's Bounty: Armored Princess,Katauri Interactive,1C Entertainment,"November 19, 2009 ??23:21:00 UTC (10 years ago)",? 84,86,
Uncharted Ocean,HiRabbit,Locojoy,"December 9, 2019 ??02:01:58 UTC (about a month ago)",??76,119,
Wild Terra Online,Juvty Worlds Ltd.,Juvty Worlds Ltd.,"December 18, 2017 ??15:40:00 UTC (2 years ago)",? 59,81,
Substance Painter 2019,Allegorithmic,Allegorithmic,"November 20, 2018 ??21:48:23 UTC (about a year ago)",??75,95,
Railroad Tycoon 3,PopTop,2K,NULL,? 69,90,
Hearts of Iron II: Complete,Store Name Hearts of Iron 2 Complete,"Developer
Paradox Development Studio","January 23, 2009 ??08:00:00 UTC (11 years ago)",??77,83,
Far Cry,Store Name Far Cry®,"Developer
Crytek Studios","April 1, 2008 ??07:00:00 UTC (12 years ago)",? 80,86,
Call of Duty: Modern Warfare 3 - Dedicated Server,Infinity Ward - Sledgehammer Games,"Last Record Update 3 days ago (January 8, 2020 ??08:42:47 UTC)",NULL,80,88,
Sherlock Holmes: The Devil's Daughter,Frogwares,Bigben Interactive,"June 10, 2016 ??16:56:00 UTC (4 years ago)",? 73,91,
"Warhammer 40,000: Sanctus Reach",Straylight Entertainment,Slitherine Ltd.,"January 19, 2017 ??15:41:47 UTC (3 years ago)",? 81,88,
MX Bikes,PiBoSo,PiBoSo,"October 7, 2019 ??20:05:03 UTC (3 months ago)",??85,105,
Might & Magic X - Legacy,Store Name Might & Magic X - Legacy,"Developer
Ubisoft","January 23, 2014 (6 years ago)",? 65,85,
METAL GEAR SOLID V: GROUND ZEROES,Konami Digital Entertainment,Konami Digital Entertainment,"December 18, 2014 ??17:50:00 UTC (5 years ago)",? 80,79,
This Is the Police 2,Weappy Studio,THQ Nordic,"July 31, 2018 ??14:29:40 UTC (about a year ago)",? 74,94,
WARMODE,Novalink,Novalink,"September 14, 2019 ??06:51:48 UTC (4 months ago)",? 60,90,
Zombie Panic! Source,Zombie Panic! Team,Zombie Panic! Team,"October 3, 2008 ??07:00:00 UTC (11 years ago)",? 82,80,
Sunset Overdrive,Insomniac Games,Xbox Game Studios,"November 16, 2018 ??17:00:00 UTC (about a year ago)",? 87,91,
We Were Here Too,Total Mayhem Games,Total Mayhem Games,"February 2, 2018 ??08:58:34 UTC (2 years ago)",? 77,83,
SYNTHETIK,Store Name SYNTHETIK: Legion Rising,"Developer
Flow Fire Games","March 16, 2018 ??01:15:39 UTC (2 years ago)",? 88,92,
StarBreak,Crunchy Games,Crunchy Games,"May 10, 2016 ??16:14:57 UTC (4 years ago)",? 73,107,
"Warhammer 40,000: Sanctus Reach",Straylight Entertainment,Slitherine Ltd.,"January 19, 2017 ??15:41:47 UTC (3 years ago)",? 81,88,
Syberia,Microids,Microids,"May 19, 2011 ??19:29:00 UTC (9 years ago)",? 85,84,
THE KING OF FIGHTERS 2002 UNLIMITED MATCH,SNK CORPORATION,SNK CORPORATION,"February 27, 2015 ??21:27:00 UTC (5 years ago)",? 87,95,
Deep Sky Derelicts,Snowhound Games,1C Entertainment,"September 26, 2018 ??17:04:32 UTC (about a year ago)",? 73,85,
BIGFOOT,CyberLight Game Studio,CyberLight Game Studio,"January 31, 2017 ??09:19:33 UTC (3 years ago)",? 70,80,
Substance Painter 2019,Allegorithmic,Allegorithmic,"November 20, 2018 ??21:48:23 UTC (about a year ago)",??75,92,
Aerofly FS 2 Flight Simulator,IPACS,IPACS,"November 20, 2017 ??14:10:00 UTC (2 years ago)",? 72,79,
Dakar 18,Bigmoon Entertainment,Bigmoon Entertainment,"September 25, 2018 ??07:00:00 UTC (about a year ago)",??57,92,
Romance of the Three Kingdoms : The Legend of CaoCao(Tactics),Store Name Romance of the Three Kingdoms: Legend of CaoCao(Tactics),"Developer
NEXON KOREA","July 26, 2019 ??01:29:00 UTC (6 months ago)",??54,82,
Ancient Warfare 3,Jannik Nickel,Jannik Nickel,"December 21, 2017 ??21:00:22 UTC (2 years ago)",??81,84,
Homeworld: Deserts of Kharak,Blackbird Interactive,Gearbox Publishing,"January 20, 2016 ??17:55:00 UTC (4 years ago)",? 77,86,
Legend of Grimrock 2,Almost Human Games,Almost Human Games,"October 15, 2014 ??16:00:00 UTC (5 years ago)",? 86,83,
The Expendabros,Free Lives,Devolver Digital,"August 5, 2014 ??14:46:00 UTC (5 years ago)",? 94,93,
Zombie Panic! Source,Zombie Panic! Team,Zombie Panic! Team,"October 3, 2008 ??07:00:00 UTC (11 years ago)",? 82,80,
West of Loathing,Asymmetric,Asymmetric,"August 10, 2017 ??15:01:22 UTC (2 years ago)",? 93,114,
Fallen Enchantress: Legendary Heroes,Stardock Entertainment,Stardock Entertainment,"May 22, 2013 (7 years ago)",? 70,84,
Democracy 3,Positech Games,Positech Games,"October 14, 2013 ??17:02:00 UTC (6 years ago)",? 72,102,
G2 Fighter,Store Name G2 Fighter / ?�因?�工,"Developer
Orbit Games","October 12, 2018 ??23:28:00 UTC (about a year ago)",? 82,116,
Hyperdimension Neptunia Re;Birth1,"IDEA FACTORY Co., Ltd.","Idea Factory International, Inc.","January 29, 2015 ??23:55:00 UTC (5 years ago)",? 92,99,
Call of Duty: Modern Warfare Remastered,Store Name Call of Duty®: Modern Warfare® Remastered,"Developer
Raven Software","July 27, 2017 (2 years ago)",? 54,87,
Metal Waltz,Store Name Metal Waltz: Anime tank girls,"Developer
Shanghai JingCai Computer Software Development Co., Ltd","May 3, 2017 ??04:06:17 UTC (3 years ago)",? 76,96,
Dungeon Hunter Champions,Gameloft,Gameloft,"December 19, 2018 ??15:24:00 UTC (about a year ago)",??55,93,
Dark Deception,Glowstick Entertainment,Glowstick Entertainment,"September 27, 2018 ??06:19:19 UTC (about a year ago)",? 87,108,
Sonic Adventure DX,SEGA,SEGA,NULL,? 83,86,
Jack Nicklaus Perfect Golf,PERFECT PARALLEL,"Perfect.Golf, Inc.","May 3, 2016 ??15:46:18 UTC (4 years ago)",? 60,104,
Blitzkrieg Anthology,Nival,Nival,"September 16, 2014 ??17:12:56 UTC (5 years ago)",? 83,92,
Super Jigsaw Puzzle: Generations,Flat Cat Games,Flat Cat Games,"April 4, 2019 ??11:12:00 UTC (9 months ago)",??84,93,
Wargame: AirLand Battle,Store Name Wargame: Airland Battle,"Developer
Eugen Systems","May 22, 2013 ??17:00:00 UTC (7 years ago)",? 85,87,
Villagers and Heroes,Mad Otter Games,Mad Otter Games,"April 17, 2014 ??16:08:00 UTC (6 years ago)",? 57,80,
Darkwood,Acid Wizard Studio,Acid Wizard Studio,"August 17, 2017 ??18:01:37 UTC (2 years ago)",? 91,87,
Airships: Conquer the Skies,David Stark,David Stark,"August 16, 2018 ??14:33:00 UTC (about a year ago)",? 90,78,
Sherlock Holmes: The Devil's Daughter,Frogwares,Bigben Interactive,"June 10, 2016 ??16:56:00 UTC (4 years ago)",? 73,91,
Industry Giant 2,"Fancy Bytes, Reactor",Toplitz Productions,"August 14, 2015 ??10:12:05 UTC (4 years ago)",? 76,77,
Half-Life: Blue Shift,Gearbox Software,Valve,"June 1, 2001 ??07:00:00 UTC (19 years ago)",? 87,96,
Ascension,Store Name Ascension: Deckbuilding Game,"Developer
Playdek, Inc.","December 16, 2014 ??20:03:00 UTC (5 years ago)",? 78,90,
Dungeons 2,Realmforge Studios,Kalypso Media Digital,"April 24, 2015 ??15:54:00 UTC (5 years ago)",? 77,91,
Might & Magic X - Legacy,Store Name Might & Magic X - Legacy,"Developer
Ubisoft","January 23, 2014 (6 years ago)",? 65,85,
King Arthur's Gold,Transhuman Design,Transhuman Design,"November 5, 2013 ??18:12:00 UTC (6 years ago)",? 80,76,
Evil Genius,Elixir Studios,Rebellion,NULL,? 90,78,
Worms Ultimate Mayhem,Team17 Digital Ltd,Team17 Digital Ltd,NULL,? 84,86,
The Secret of Monkey Island: Special Edition,LucasArts,LucasArts,"July 15, 2009 ??07:00:00 UTC (10 years ago)",? 90,76,
侠�?风云传前�?Tale of Wuxia:The Pre-Sequel),Heluo Studio,FHYX（凤?�游?�）,"August 15, 2017 ??01:02:40 UTC (2 years ago)",? 65,118,
EMERGENCY 20,Sixteen Tons Entertainment,Sixteen Tons Entertainment,"October 31, 2017 ??15:01:00 UTC (2 years ago)",??69,82,
IL-2 Sturmovik: 1946,1C: Maddox Games,1C Entertainment,"June 13, 2008 ??07:00:00 UTC (12 years ago)",? 83,78,
SHOGUN: Total War??- Gold Edition,Store Name SHOGUN: Total War??- Collection,"Developer
CREATIVE ASSEMBLY","June 25, 2015 ??17:00:00 UTC (5 years ago)",??76,86,
Strategic Command WWII: War in Europe,Fury Software,Slitherine Ltd.,"June 6, 2017 ??14:58:00 UTC (3 years ago)",??80,80,
Two Worlds: Epic Edition,Store Name Two Worlds Epic Edition,"Developer
Reality Pump Studios","April 30, 2009 ??07:00:00 UTC (11 years ago)",? 70,79,
Space Pirate Trainer,I-Illusions,I-Illusions,"October 12, 2017 ??15:34:00 UTC (2 years ago)",? 90,75,
LIGHTNING RETURNS: FINAL FANTASY XIII,Store Name LIGHTNING RETURNS?? FINAL FANTASY® XIII,"Developer
Square Enix","December 10, 2015 ??15:34:00 UTC (4 years ago)",? 77,90,
Guild Wars,ArenaNet,"Last Record Update 21 days ago (December 22, 2019 ??03:58:09 UTC)",NULL,75,78,
Far Cry,Store Name Far Cry®,"Developer
Crytek Studios","April 1, 2008 ??07:00:00 UTC (12 years ago)",? 80,86,
Catherine Classic,ATLUS,SEGA,"January 10, 2019 ??14:55:00 UTC (about a year ago)",? 85,75,
SYNTHETIK,Store Name SYNTHETIK: Legion Rising,"Developer
Flow Fire Games","March 16, 2018 ??01:15:39 UTC (2 years ago)",? 88,92,
Gunsmith,Seacorp Technologies,Seacorp Technologies,"May 25, 2018 ??17:00:49 UTC (2 years ago)",? 74,83,
Sinking Simulator,Wicpar,Pac0master,"October 23, 2019 ??11:13:13 UTC (3 months ago)",? 76,93,
Two Worlds II,Store Name Two Worlds II HD,"Developer
Reality Pump Studios","February 3, 2011 ??22:24:00 UTC (9 years ago)",? 60,74,
F1 2014,Codemasters,Codemasters,"October 16, 2014 ??23:11:00 UTC (5 years ago)",? 75,74,
Unforgiving Trials: The Darkest Crusade,Amaterasu Software,Amaterasu Software,"June 15, 2016 ??09:13:15 UTC (4 years ago)",? 60,"1,611",
G2 Fighter,Store Name G2 Fighter / ?�因?�工,"Developer
Orbit Games","October 12, 2018 ??23:28:00 UTC (about a year ago)",? 82,116,
G2 Fighter,Store Name G2 Fighter / ?�因?�工,"Developer
Orbit Games","October 12, 2018 ??23:28:00 UTC (about a year ago)",? 82,116,
Cities XXL,Focus Home Interactive,Focus Home Interactive,"February 5, 2015 ??17:00:00 UTC (5 years ago)",? 34,75,
Door Kickers: Action Squad,PixelShard,KillHouse Games,"September 10, 2018 ??17:24:56 UTC (about a year ago)",? 89,98,
Syberia,Microids,Microids,"May 19, 2011 ??19:29:00 UTC (9 years ago)",? 85,84,
FINAL FANTASY IV,Square Enix,Square Enix,"September 17, 2014 ??16:59:00 UTC (5 years ago)",? 79,75,
FORTIFY,RTK Entertainment,RTK Entertainment,"August 10, 2016 ??17:24:00 UTC (3 years ago)",? 89,80,
Divine Divinity,Larian Studios,Larian Studios,NULL,? 84,77,
My Little Farmies,upjers,upjers,"February 27, 2018 ??11:01:12 UTC (2 years ago)",??48,82,
EMERGENCY 20,Sixteen Tons Entertainment,Sixteen Tons Entertainment,"October 31, 2017 ??15:01:00 UTC (2 years ago)",??69,82,
